code_vente;date_vente;nom_de_la_piece;quantite;prix_unitaire_de_vente;prix_total_de_vente
;;PNEU 175/70 R13 CIKUMI;1;35;35
;;BATTERIE 70 AMP;1;95;95
;;PNEU 185/70 R14 ;1;40;40
;;ROTULE CENTRALE RAV4 (394K);2;20;40
;;ROTULE CENTRALE RAV4 (394K);2;20;40
;;ROTULE CENTRALE RAV4 (394K);2;20;40
;;COUSSINETS BIELLE 5AF;2;15;0
;;JOINT DE CULASSE 5AF;1;5;5
;06/04/2022;SEGMENTS TP 5AF;1;55;55
;;JOINT DE CULASSE 5AF;1;5;5
;;JOINT DE CULASSE 5AF;1;5;5
;;VOLANT MOTEUR HIACE;1;100;100
;;SEGMENTS ORG HIACE 1RZ;1;100;100
;;COUSSINETS BIELLE 1RZ STD;1;20;20
;;JOINT DE CULASSE 1RZ ORD;1;5;5
;;COLLE HERMETIC TUBE;1;4;4
;;RETIEN D'HUILE 1RZ;1;5;5
;;BOUGIE DENSO 16 CRAYON (4PCS);4;3;12
;;BOUGIE DENSO 16 CRAYON (4PCS);4;3;12
;;BOUGIE DENSO 16 CRAYON (4PCS);4;3;12
;;BOUGIE DENSO 16 CRAYON (4PCS);4;3;12
;;HUILE CALTEX HAVOLINE 1L;4;5;20
;;HUILE CITROL SAE 40 1L;24;3,12;74,88
;;HUILE CITROL SAE 40 1L;24;3,12;74,88
;;PNEU 175/70 R13 CIKUMI;1;37;37
;07/04/2022;PNEU 175/70 R13 CIKUMI;1;37;37
;;BATTERIE 50 AMP;1;75;75
;;BATTERIE 50 AMP;1;75;75
;;HUILE DE FREIN ORDINAIRE;24;0,7;16,8
;;AMORTISSEUR AV RAV4 AM ;2;27,5;55
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;23;46
;08/04/2022;COLLE HERMETIC TUBE;1;4;4
;;COLLE HERMETIC TUBE;1;4;4
;;JOINT DE CULASSE 3S FE;1;5;5
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;22;44
;;HUILE CITROL SAE 40 1L;240;3,12;748,8
;;HUILE CITROL SAE 40 1L;240;3,12;748,8
;;HUILE CITROL SAE 40 1L;240;3,12;748,8
;;BOUGIE DENSO W20 ORD (4PCS);4;3;12
;;BATTERIE 50 AMP;1;75;75
;;JOINT DE CULASSE 5AF;1;5;5
;;COLLE HERMETIC TUBE;1;4;4
;;SEGMENTS ORG HIACE 1RZ;1;110;110
;;COUSSINETS BIELLE 1RZ STD;1;20;20
;;JOINT DE CULASSE 1RZ ORD;1;5;5
;;JOINT DE CULASSE 1RZ ORD;1;5;5
;;COLLE SILICONE TUBE;1;2;2
;;PNEU 195 R15 HIACE;1;75;75
;;KIT JOINT MOTEUR 3S;1;30;30
;;POMPE A ESSENCE RIKA (PTS);1;15;15
;;AMORTISSEUR AR L/C NM;1;30;30
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;23;23
;11/04/2022;COUPELLES D'EMBRAYAGE INFERIEUR CANTER BLANCS;1;5;5
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;PNEU 175/70 R13 CIKUMI;1;35;35
;;PNEU 175/70 R13 CIKUMI;1;35;35
;;BATTERIE 45 AMP;1;65;65
;;COLLE HERMETIC TUBE;1;4;4
;;COLLE SILICONE TUBE;1;3;3
;;COLLE SILICONE TUBE;1;3;3
;;HUILE CALTEX HAVOLINE 1L;24;2,17;52,08
;;HUILE DE FREIN ORDINAIRE;24;0,7;16,8
;;FILTRE A HUILE VANETTE;5;2;10
;;FILTRE A HUILE CANTER;1;8;8
;;FILTRE A HUILE CANTER;1;8;8
;;COLLE SILICONE TUBE;24;2;48
;;COUPELLES D'EMBAYAGE ORG SUPER;1;3;3
;;HUILE DE FREIN ORDINAIRE;24;0,7;16,8
;;BATTERIE 45 AMP;1;65;65
;12/04/2022;POMPE A ESSENCE RIKA (PTS);1;15;15
;;BATTERIE 50 AMP;1;75;75
;;POMPE A ESSENCE RIKA (PTS);1;15;15
;;JOINT DE CULASSE G13;1;10;10
;;AMORTISSEUR AV L/C AM E3375;1;25;25
;;PNEU 175/70 R13 CIKUMI;1;35;35
;;PNEU 175/70 R13 CIKUMI;1;35;35
;;PNEU 175/70 R13 CIKUMI;1;35;35
;;HUILE DE FREIN ORDINAIRE;24;0,7;16,8
;;POMPE A ESSENCE RIKA (PTS);1;15;15
;;BATTERIE 45 AMP;1;65;65
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;TETE DE TRANSMISSION 23 DENTS;1;12;12
;;POMPE D'AMORSAGE HLX, L/C;1;15;15
;;FILTRE A GASOIL FUSO;1;5;5
;;DECANTEUR FILTRE A GASOIL L/C;1;5;5
;;DECANTEUR FILTRE A GASOIL L/C;1;5;5
;;HUILE DE FREIN ORDINAIRE;3;2;6
;;RETIEN D'HUILE 1TR;1;8;8
;13/04/2022;RETIEN D'HUILE 1TR;1;8;8
;;COUPELLES D'EMBRAYAGE INFERIEUR CANTER BLANCS;1;5;5
;;COUSSINETS BIELLE 1RZ STD;2;15;30
;;COUSSINETS BIELLE 1RZ STD;2;15;30
;;PNEU 175/70 R13 CIKUMI;1;35;35
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;KIT JOINT MOTEUR 3S;1;35;35
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;KIT FREIN L/C 3D05;1;60;60
;;KIT FREIN L/C 3D05;1;60;60
;;PLAQUETTE L/C NM;1;20;20
;;BOUGIE DENSO W20 ORD (4PCS);4;5;20
;;BATTERIE 50 AMP;1;75;75
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;PNEU 175/70 R13 CIKUMI;1;37;37
;14/04/2022;PNEU 175/70 R13 CIKUMI;1;37;37
;;RETIEN D'HUILE 1RZ;1;9;9
;;HUILE DE FREIN ORDINAIRE;12;2;24
;;PLAQUETTE L/C AM;1;15;15
;;PLAQUETTE L/C AM;1;15;15
;;PLAQUETTE L/C AM;1;15;15
;;VOLANT MOTEUR FUSO 6D17, 6D15;1;146;146
;;VOLANT MOTEUR FUSO 6D17, 6D15;1;146;146
;;VOLANT MOTEUR FUSO 6D17, 6D15;1;146;146
;;VOLANT MOTEUR FUSO 6D17, 6D15;1;146;146
;;FILTRE A GASOIL FUSO;1;5;5
;;SEGMENTS TP 5AF;1;50;50
;;SEGMENTS TP 5AF;1;50;50
;;COUSSINETS PALIER 1RZ STD;1;20;20
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;1;23;23
;15/04/2022;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;POMPE A ESSENCE RIKA (GRDS);1;25;25
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;FILTRE A GASOIL FUSO;1;7,5;7,5
;;AMORTISSEUR AV IPSUM 33/43/19/20;2;25;50
;;ROTULE CENTRALE RAV4 (394K);2;10;20
;;ROTULE CENTRALE RAV4 (394K);2;10;20
;16/04/2022;SEGMENTS TP 5AF;1;50;50
;;COUSSINETS BIELLE 5AF;1;15;15
;;JOINT DE CULASSE 5AF;1;5;5
;;RETIEN D'HUILE 5AF;1;5;5
;;COLLE SILICONE TUBE;1;3;3
;;COLLE SILICONE TUBE;1;3;3
;;BOURRAGES VILBREQUIN AR 1RZ;1;5;5
;;HUILE CALTEX HAVOLINE 1L;3;5;15
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;SEGMENTS ORG 3Y;1;100;100
;;SEGMENTS ORG 3Y;1;100;100
;;PNEU 195 R15 HIACE;1;73;73
;;PNEU 195 R15 HIACE;1;73;73
;;PNEU 185/70 R14 ;1;40;40
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;POMPE D'AMORSAGE HLX, L/C;1;10;10
;18/04/2022;COUPELLES D'EMBRAYAGE INFERIEUR CANTER BLANCS;1;5;5
;;PNEU 185/70 R14 ;2;40;80
;;COUSSINETS BIELLE 1RZ 0.50;1;20;20
;;COUSSINETS PALIER 1RZ 0.50;1;20;20
;;COUSSINETS PALIER 1RZ 0.50;1;20;20
;;BOUGIE DENSO 16 CRAYON (4PCS);4;3;12
;;PNEU 185/70 R14 ;2;40;80
;;COLLE SILICONE TUBE;6;2;12
;19/04/2022;BATTERIE 50 AMP;1;70;70
;;COUPELLES D'EMBRAYAGE INFERIEUR SEIKEN ORG;1;5;5
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;SEGMENTS ORG HIACE 1RZ;1;110;110
;;JOINT DE CULASSE 1RZ ORD;1;5;5
;;COURROIE 3PKX 750;1;5;5
;;BOURRAGES VILBREQUIN AV 1RZ;1;3;3
;;BOURRAGES VILBREQUIN AV 1RZ;1;3;3
;;COLLE SILICONE TUBE;2;2,5;5
;;BATTERIE 45 AMP;1;65;65
;;PNEU 175/70 R13 CIKUMI;1;37;37
;20/04/2022;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;BATTERIE 50 AMP;1;75;75
;;COLLE SILICONE TUBE;12;2;24
;;COUSSINETS BIELLE 5AF;1;15;15
;;JOINT DE CULASSE 5AF;1;5;5
;;COLLE SILICONE TUBE;1;2;2
;;COLLE SILICONE TUBE;1;2;2
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;PNEU 185/70 R13 LINGLONG;1;38;38
;21/04/2022;BATTERIE 70 AMP;1;95;95
;;BATTERIE 50 AMP;2;75;150
;;FILTRE A AIR L/C (61030);1;15;15
;;PNEU 185/70 R13 LINGLONG;2;38;76
;;BATTERIE 50 AMP;1;75;75
;;COLLE SILICONE TUBE;1;2,5;2,5
;22/04/2022;COLLE SILICONE TUBE;1;2,5;2,5
;;DECANTEUR HIACE 1RZ;1;7;7
;;GRAISSE 0.5 KG;4;2,5;10
;;AMORTISSEUR AV TERIOS 48520-10-87402;2;30;60
;;BOUGIE DENSO 16 CRAYON (4PCS);4;3;12
;23/04/2022;BOUGIE DENSO 16 CRAYON (4PCS);4;3;12
;;POMPE A ESSENCE RIKA (PTS);1;15;15
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;TETE DE TRANSMISSION 23 DENTS;1;12;12
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;POMPE A ESSENCE RIKA (PTS);1;15;15
;;BATTERIE 45 AMP;1;65;65
;25/04/2022;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;PNEU 185/70 R13 LINGLONG;1;38;38
;;PNEU 185/70 R13 LINGLONG;1;38;38
;;PNEU 185/70 R13 LINGLONG;1;38;38
;;COUSSINETS BIELLE 1RZ STD;1;20;20
;;COUSSINETS PALIER 1RZ STD;1;20;20
;;TRIANGLE TECHNIQUE;4;5;20
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;1;23;23
;26/04/2022;HUILE CALTEX HAVOLINE 1L;4;4,5;18
;;HUILE CALTEX HAVOLINE 1L;4;4,5;18
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;COLLE SILICONE TUBE;1;2,5;2,5
;;PNEU 175/70 R13 CIKUMI;1;37;37
;;BATTERIE 45 AMP;1;65;65
;;DISQUE D'EMBRAYAGE 2L;1;12;12
;;PNEU 185/70 R13 LINGLONG;1;38;38
;27/04/2022;PNEU 185/70 R13 LINGLONG;1;38;38
;;PNEU 185/70 R13 LINGLONG;1;38;38
;;PNEU 195 R15 HIACE;1;75;75
;;COUSSINETS BIELLE 1NZ, 2NZ STD;1;15;15
;;COUSSINETS BIELLE 1NZ, 2NZ STD;1;15;15
;;COUSSINETS BIELLE 1NZ, 2NZ STD;1;15;15
;;POMPE D'AMORSAGE HLX, L/C;1;20;20
;;SEGMENTS TP 1NZ;1;60;60
;;COUSSINETS BIELLE 1NZ, 2NZ STD;1;15;15
;28/04/2022;COUSSINETS BIELLE 5AF;1;15;15
;;JOINT DE CULASSE 5AF;1;5;5
;;JOINT DE CULASSE 1RZ ORG;1;10;10
;;JOINT DE CULASSE 1RZ ORG;1;10;10
;;RETIEN D'HUILE 1RZ;1;5;5
;;PHARE ROND 12V L/C STAUT;4;40;160
;;PHARE ROND 12V L/C STAUT;4;40;160
;;PHARE ROND 12V L/C STAUT;4;40;160
;;COLLE SILICONE TUBE;1;3;3
;;COLLE SILICONE TUBE;1;3;3
;;HUILE DE FREIN ORDINAIRE;24;0,7;16,8
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;30;30
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;BOURRAGE SEMI-AXE STAUT, DYNA;2;7,5;15
;;BOURRAGE SEMI-AXE STAUT, DYNA;1;5;5
;;BOURRAGE SEMI-AXE STAUT, DYNA;1;5;5
;;HUILE DE FREIN ORDINAIRE;24;0,7;16,8
;29/04/2022;SEGMENTS ORG HIACE 1RZ;1;100;100
;;COUSSINETS BIELLE 1RZ 0.25;1;20;20
;;JOINT DE CULASSE 1RZ ORD;1;5;5
;;RETIEN D'HUILE 1RZ;1;5;5
;;COUSSINETS BIELLE 1NZ, 2NZ STD;1;20;20
;30/04/2022;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;COLLE SILICONE TUBE;2;2,5;5
;;BOUGIE DENSO 16 CRAYON (4PCS);4;3;12
;;HUILE DE FREIN ORDINAIRE;24;0,7;16,8
;;COUPELLES D'EMBRAYAGE INFERIEUR CANTER BLANCS;1;5;5
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;23;23
;02/05/2022;BOUGIE DENSO 16 CRAYON (4PCS);4;3;12
;;BOUGIE DENSO 16 CRAYON (4PCS);4;3;12
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;HUILE CALTEX HAVOLINE 1L;4;5;20
;;HUILE DE FREIN ORDINAIRE;3;1;3
;;PNEU 185/70 R13 LINGLONG;1;38;38
;;PNEU 185/70 R13 LINGLONG;1;38;38
;;HUILE CALTEX HAVOLINE 1L;4;5;20
;;JOINT DE CULASSE 1RZ ORG;1;10;10
;;JOINT DE CULASSE 1TR ORG METAL;1;10;10
;03/05/2022;PNEU 185/70 R13 LINGLONG;1;38;38
;;COUSSINETS BIELLE 5AF;1;15;15
;;COUSSINETS BIELLE 5AF;1;15;15
;;POMPE D'AMORSAGE HLX, L/C;1;15;15
;;COUSSINETS BIELLE 1RZ STD;1;15;15
;;DISQUE D'EMBRAYAGE COROLLA (124);1;12;12
;04/05/2022;JOINT DE CULASSE 5AF;1;5;5
;;JOINT DE CULASSE 5AF;1;5;5
;;COLLE SILICONE TUBE;1;2,5;2,5
;;POMPE D'AMORSAGE HLX, L/C;1;15;15
;06/05/2022;POMPE D'AMORSAGE HLX, L/C;1;15;15
;;POMPE A ESSENCE RIKA (PTS);1;15;15
;;PLATEAU SUZUKI ESCUDO/VITARA;1;50;50
;;COUPELLES D'EMBAYAGE SUPER 1RZ;1;15;15
;;COUPELLES D'EMBAYAGE SUPER 1RZ;1;15;15
;;FILTRE A HUILE HIACE;2;5;10
;;FILTRE A GASOIL FUSO;1;10;10
;;HUILE DE FREIN ORDINAIRE;2;2;4
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;AMORTISSEUR AV RAV4 AM ;2;30;60
;;AMORTISSEUR AV RAV4 AM ;2;30;60
;;COLLE HERMETIC TUBE;1;4;4
;;COUPELLES D'EMBRAYAGE SUPERIEUR CANTER;1;5;5
;;JOINT DE CULASSE 1RZ ORG;1;10;10
;;RETIEN D'HUILE 1RZ;1;5;5
;;COLLE SILICONE TUBE;1;2,5;2,5
;;VALVE PNEUS;6;1,5;9
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;23;23
;07/05/2022;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;POMPE D'AMORSAGE HLX, L/C;1;15;15
;;POMPE D'AMORSAGE HLX, L/C;1;15;15
;;DECANTEUR HIACE 1RZ;1;8;8
;;PNEU 185/70 R13 LINGLONG;1;38;38
;;PNEU 195 R15 HIACE;4;70;280
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;23;23
;09/05/2022;BOURRAGES VILBREQUIN AR 1RZ;1;5;5
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;PNEU 195 R15 HIACE;1;73;73
;;AMORTISSEUR AV L/C AM E3375;2;25;50
;;COUSSINETS BIELLE 1NZ, 2NZ STD;1;20;20
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;FILTRE A HUILE CANTER;1;10;10
;;FILTRE A HUILE CANTER;1;10;10
;10/05/2022;JOINT DE CULASSE F8;1;5;5
;;FILTRE A HUILE SUZUKI;1;7;7
;;FILTRE A HUILE SUZUKI;1;7;7
;;FILTRE A HUILE SUZUKI;1;7;7
;;COUSSINETS BIELLE 4D30/4D31/4D32;1;30;30
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;POMPE A HUILE 3S;1;85;85
;;POMPE A HUILE 3S;1;85;85
;11/05/2022;VALVE PNEUS;1;0,5;0,5
;;PNEU 195 R15 HIACE;1;75;75
;;JOINT DE CULASSE 4G64;1;10;10
;;COUSSINETS BIELLE 1RZ STD;1;20;20
;;FILTRE A HUILE SUZUKI;1;15;15
;;HUILE HYDRAULIC 1L;1;3;3
;12/05/2022;FILTRE A HUILE CANTER;1;10;10
;;BATTERIE 45 AMP;1;65;65
;;VALVE PNEUS;1;0,5;0,5
;;COUPELLES D'EMBAYAGE ORG SUPER;1;8;8
;;COUPELLES D'EMBAYAGE ORG SUPER;1;8;8
;;COLLE SILICONE TUBE;1;2,5;2,5
;13/05/2022;COUSSINETS BIELLE 1RZ STD;1;20;20
;;JOINT DE CULASSE 1RZ ORD;1;5;5
;;COLLE SILICONE TUBE;1;2,5;2,5
;;FILTRE A AIR NISSAN (ROUGE);1;10;10
;;VALVE PNEUS;1;0,5;0,5
;;VALVE PNEUS;1;0,5;0,5
;;VALVE PNEUS;1;0,5;0,5
;;POMPE A ESSENCE RIKA (PTS);1;15;15
;;BATTERIE 45 AMP;1;65;65
;;BATTERIE 70 AMP;1;95;95
;14/05/2022;FILTRE A HUILE DYNA (2210);1;10;10
;;COUPELLES D'EMBAYAGE SUPER 1RZ;1;10;10
;;COUPELLES D'EMBAYAGE SUPER 1RZ;1;10;10
;;JOINT DE CULASSE 1RZ ORD;1;5;5
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;FILTRE A HUILE HIACE;1;3;3
;16/05/2022;SEGMENTS ORG 4Y;1;100;100
;;FILTRE A HUILE HIACE;1;3;3
;;COLLE SILICONE TUBE;1;2,5;2,5
;;BOUGIE DENSO 16 CRAYON (4PCS);4;3;12
;;BOUGIE DENSO 16 CRAYON (4PCS);4;3;12
;;BOUGIE DENSO 16 CRAYON (4PCS);4;3;12
;;JOINT DE CULASSE 1RZ ORD;1;5;5
;;SOUS-PAPES 1RZ;1;30;30
;;HUILE DE FREIN ORDINAIRE;2;2;4
;;HUILE DE FREIN ORDINAIRE;1;2;2
;;BOUGIE DENSO 16 CRAYON (4PCS);4;3;12
;;DISQUE D'EMBRAYAGE 5AF;4;12;0
;17/05/2022;COUSSINETS BIELLE 5SFE STD;1;15;15
;;COUSSINETS BIELLE 5SFE STD;1;15;15
;18/05/2022;COUSSINETS BIELLE 5SFE STD;1;15;15
;;COUSSINETS BIELLE 5SFE STD;1;15;15
;;COLLE HERMETIC TUBE;1;4;4
;;JOINT DE CULASSE 4G64;1;10;10
;;COLLE SILICONE TUBE;1;2,5;2,5
;;COLLE SILICONE TUBE;1;2,5;2,5
;;COLLE SILICONE TUBE;1;2,5;2,5
;;COLLE SILICONE TUBE;1;2,5;2,5
;19/05/2022;HUILE HYDRAULIC 5L;12;4;48
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;22;44
;;POMPE A ESSENCE RIKA (PTS);1;15;15
;;CHAINE TENDEUR 3Y;1;20;20
;;CHAINE TENDEUR 3Y;1;20;20
;;JOINT DE CULASSE 1TR ORG METAL;1;10;10
;;JOINT DE CULASSE 1TR ORG METAL;1;10;10
;;COLLE HERMETIC TUBE;2;4;8
;20/05/2022;RETIEN D'HUILE 1RZ;2;4;8
;;SOUS-PAPES 1RZ;1;30;30
;;JOINT DE CULASSE 1RZ ORD;1;5;5
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;COLLE SILICONE TUBE;1;2,5;2,5
;;FILTRE A HUILE VANETTE;1;3;3
;;BOUGIE DENSO 16 CRAYON (4PCS);4;3;12
;;HUILE CALTEX HAVOLINE 4L;3;5;15
;;POMPE A ESSENCE RIKA (PTS);1;15;15
;;POMPE A ESSENCE RIKA (PTS);1;15;15
;21/05/2022;BOUGIE DENSO 16 CRAYON (4PCS);4;3;12
;;JOINT DE CULASSE 1RZ ORD;1;5;5
;;RETIEN D'HUILE 5AF;1;5;5
;;VALVE PNEUS;1;0,5;0,5
;;HUILE DE FREIN ORDINAIRE;1;4;4
;;HUILE DE FREIN ORDINAIRE;1;4;4
;;JOINT DE CULASSE 1RZ ORD;1;5;5
;;COUSSINETS BIELLE 1RZ STD;1;20;20
;;FILTRE A HUILE CANTER;1;7;7
;23/05/2022;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;TETE DE TRANSMISSION TERIOS;1;25;25
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;HUILE CITROL SAE 40 5L;6;9,67;58,02
;;COLLE SILICONE TUBE;12;2;24
;;BATTERIE 50 AMP;1;75;75
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;HUILE HYDRAULIC 5L;12;2;24
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;23;46
;24/05/2022;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;PLAQUETTE PROBOX;1;12;12
;;PLAQUETTE PROBOX;1;12;12
;;PLAQUETTE PROBOX;1;12;12
;;JOINT DE CULASSE 2AZ;1;10;10
;;HUILE CITROL SAE 40 5L;6;9,67;58,02
;;HUILE CITROL SAE 40 5L;6;9,67;58,02
;;HUILE CITROL SAE 40 5L;6;9,67;58,02
;;HUILE HYDRAULIC 5L;12;2;24
;;VALVE PNEUS;1;0,5;0,5
;;VALVE PNEUS;1;0,5;0,5
;25/05/2022;POMPE A ESSENCE RIKA (PTS);1;15;15
;;POMPE A ESSENCE RIKA (PTS);1;15;15
;;PLAQUETTE CARINA/RAV4 (394K);1;15;15
;;BATTERIE 50 AMP;1;75;75
;26/05/2022;PNEU 185 R14 VANETTE;1;70;70
;;PNEU 185 R14 VANETTE;1;70;70
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;PLAQUETTE COROLLA (113K);1;6;6
;;BOURRAGES COROLLA/CARINA;1;3;3
;;POMPE A HUILE 1RZ;1;100;100
;;COLLE HERMETIC TUBE;1;4;4
;;COLLE SILICONE TUBE;1;2,5;2,5
;;JOINT DE CULASSE 1RZ ORD;1;5;5
;;JOINT DE CULASSE 1RZ ORD;1;5;5
;27/05/2022;COUPELLES D'EMBRAYAGE SUPERIEUR CANTER;1;5;5
;;HUILE DE FREIN ORDINAIRE;1;2;2
;;COUSSINETS BIELLE 1RZ STD;1;20;20
;;SEGMENTS ORG HIACE 1RZ;1;100;100
;;JOINT DE CULASSE 1RZ ORD;1;5;5
;;HUILE CITROL SAE 40 5L;6;9,67;58,02
;;HUILE CITROL SAE 40 5L;6;9,67;58,02
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;23;46
;28/05/2022;GRAISSE SEAUX;1;35;35
;;HUILE CITROL SAE 50 5L;3;29;87
;;BOUGIE DENSO 16 CRAYON (4PCS);4;3;12
;;BOUGIE DENSO 16 CRAYON (4PCS);4;3;12
;;KIT JOINT MOTEUR 3S;1;30;30
;;COLLE SILICONE TUBE;2;2,5;5
;;HUILE CITROL SAE 90 5L;6;10;60
;;HUILE CITROL SAE 90 5L;6;10;60
;;HUILE DE FREIN ORDINAIRE;1;2;2
;;BOUGIE DENSO 16 CRAYON (4PCS);4;3;12
;;BOUGIE DENSO 16 CRAYON (4PCS);4;3;12
;;BOUGIE DENSO 16 CRAYON (4PCS);4;3;12
;;BATTERIE 45 AMP;1;65;65
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;15;30
;30/05/2022;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;COUSSINETS BIELLE 5AF;1;10;10
;;COUSSINETS BIELLE 1RZ STD;1;15;15
;31/05/2022;HUILE HYDRAULIC 5L;1;3;3
;;HUILE HYDRAULIC 5L;1;3;3
;;COLLE SILICONE TUBE;1;2,5;2,5
;;BOUGIE DENSO 16 CRAYON (4PCS);4;3;12
;;BOUGIE DENSO 16 CRAYON (4PCS);4;3;12
;;COLLE SILICONE TUBE;1;2,5;2,5
;;POMPE A ESSENCE RIKA (PTS);1;15;15
;;AMORTISSEUR AR L/C NM;2;25;50
;;DECANTEUR HIACE 1RZ;1;5;5
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;23;46
