code_vente;date_vente;nom_de_la_piece;quantite;prix_unitaire_de_vente;prix_total_de_vente
;;FILTRE A HUILE NISSAN;1;5;5
;;BOUGIE DENSO 16 CRAYON (4PCS);2;3;6
;15/01/2022;FILTRE A HUILE DYNA (2210);1;10;10
;;BOURRAGES PONT-AR STAUT/CANTER;1;0;0
;;POMPE ELECTRIQUES;1;25;25
;;TETE DE TRANSMISSION HLX/L.C.;1;25;25
;;FILTRE A HUILE CANTER;1;10;10
;;BOUGIE DENSO 16 CRAYON (4PCS);4;3;12
;18/01/2022;KLAXON 12V;1;8;8
;;COUSSINETS BIELLE 1Y/2Y/3Y/4Y STD;1;15;15
;;COLLE SILICONE TUBE;1;2;2
;;JOINT DE CULASSE 1RZ ORG;1;10;10
;;RETIEN D'HUILE 5AF;1;5;5
;;RETIEN D'HUILE 5AF;1;5;5
;;BOUGIE IRIDIUM OKO (1PCS);4;10;40
;;DISQUE D'EMBRAYAGE MAZDA/VANETTE 23 DENTS;1;20;20
;;COUSSINETS BIELLE 4M40 (Pajero);1;30;30
;19/01/2022;COUPELLES D'EMBRAYAGE INFERIEUR CANTER BLANCS;1;5;5
;;COUPELLES D'EMBRAYAGE INFERIEUR CANTER BLANCS;1;5;5
;20/01/2022;FILTRE A HUILE FUSO 6D22(PAPIER);1;20;20
;;SEGMENTS TP 5AF;1;60;60
;;SEGMENTS TP 5AF;1;60;60
;;RETIEN D'HUILE 1RZ;1;5;5
;;RETIEN D'HUILE 1RZ;1;5;5
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;22;22
;;FILTRE A HUILE NISSAN;2;5;10
;;FILTRE A HUILE NISSAN;2;5;10
;;BOUGIE DENSO W20 ORD (4PCS);4;3;12
;;AMORTISSEUR AR RAV4 AM 343271;2;20;40
;;AMORTISSEUR AR RAV4 AM 343271;2;20;40
;;FILTRE A HUILE FUSO ORD;1;15;15
;;FILTRE A GASOIL FUSO;1;5;5
;21/01/2022;FILTRE A GASOIL FUSO;1;5;5
;;FILTRE A GASOIL FUSO;1;5;5
;;SUPPORT D'ECHAPEMENT L/C;1;5;5
;;SUPPORT D'ECHAPEMENT L/C;1;5;5
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;22;22
;;SEGMENTS ORG HIACE 1TR;1;100;100
;;SEGMENTS ORG HIACE 1TR;1;100;100
;;SEGMENTS ORG HIACE 1TR;1;100;100
;22/01/2022;BOUGIE DENSO W20 ORD (4PCS);4;3;12
;;SEGMENTS ORG HIACE 1TR;1;100;100
;;COUSSINETS BIELLE 1S/3S STD;1;20;20
;;JOINT DE CULASSE 1RZ ORD;1;5;5
;;COLLE SILICONE TUBE;2;2;4
;;FILTRE A HUILE HIACE;1;3;3
;;RETIEN D'HUILE 1RZ;1;5;5
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;22;22
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;22;22
;;PLAQUETTE L/C NM;1;15;15
;;BOUGIE DENSO 16 CRAYON (4PCS);4;3;12
;;FILTRE A AIR NISSAN (ROUGE);1;15;15
;24/01/2022;COUPELLES D'EMBAYAGE ORG SUPER;2;0;0
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;22;22
;;SEGMENTS TP 5AF;1;60;60
;;JOINT DE CULASSE 5AF;1;5;5
;;RETIEN D'HUILE 5AF;1;5;5
;;RETIEN D'HUILE 5AF;1;5;5
;;FILTRE A HUILE VANETTE;1;3;3
;;BOURRAGES VILBREQUIN AR 1RZ;1;5;5
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;22;44
;;TETE DE TRANSMISSION 23 DENTS;1;12;12
;;TETE DE TRANSMISSION 23 DENTS;1;12;12
;;FILTRE A AIR L/C (61030);1;15;15
;;FILTRE A HUILE CANTER;1;10;10
;;AMORTISSEUR AV PROBOX S333258F;2;25;50
;;AMORTISSEUR AR RAV4 NM;2;25;50
;25/01/2022;JOINT DE CULASSE G13;1;10;10
;;COUSSINETS BIELLE SUZUKI G15/G16 0.75;1;20;20
;;COUPELLES D'EMBAYAGE SUPER 1RZ;1;6;6
;;COUPELLES D'EMBAYAGE SUPER 1RZ;1;6;6
;;COUPELLES D'EMBRAYAGE INFERIEUR CANTER BLANCS;5;5;25
;;BOUGIE DENSO W20 ORD (4PCS);4;3;12
;26/01/2022;BOUGIE DENSO W20 ORD (4PCS);4;3;12
;;VALVE PNEUS;10;0;0
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;22;44
;;FILTRE A HUILE FUSO ORD;2;7,5;15
;;SOUS-PAPES 1RZ;1;40;40
;;RETIEN D'HUILE 1RZ;1;5;5
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;22;44
;;FILTRE A GASOIL FUSO;1;5;5
;;BOURRAGES VILBREQUIN AR 1RZ;1;5;5
;27/01/2022;DISQUE D'EMBRAYAGE 2L/2Y;1;15;15
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;22;44
;;SUPPORT MOTEUR L/C;1;15;15
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;22;22
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;22;22
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;22;22
;;FILTRE A HUILE FUSO ORD;1;15;15
;;FILTRE A GASOIL FUSO;1;5;5
;;SPOTLIGHT 12V;1;12;12
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;22;22
;28/01/2022;FILTRE A AIR CANTER (7595);1;10;10
;;FILTRE A GASOIL FUSO;1;5;0
;;FILTRE A GASOIL FUSO;1;5;0
;;SEGMENTS ORG HIACE 1RZ;1;110;110
;;SEGMENTS ORG HIACE 1RZ;1;110;110
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;22;44
;;COLLE SILICONE TUBE;2;2;4
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;22;44
;;BOUGIE DENSO 16 CRAYON (4PCS);4;3;12
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;22;22
;29/01/2022;JOINT DE CULASSE 1RZ ORG;1;10;10
;;FILTRE A HUILE DYNA (2210);1;10;10
;;SEGMENTS ORG HIACE 1RZ;1;110;110
;;CHAINE TENDEUR 3Y;1;15;15
;;CHAINE TENDEUR 3Y;1;15;15
;;DISQUE D'EMBRAYAGE 2L/2Y;1;15;15
;;DISQUE D'EMBRAYAGE 2L/2Y;1;15;15
;31/01/2022;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;22;22
;;COUSSINETS BIELLE 5SFE STD;1;25;25
;;JOINT DE CULASSE 3S FE;1;25;25
;;ROTULE L/C (2 JEUX);1;15;15
;;JOINT DE CULASSE 4G64;1;10;10
;;COLLE HERMETIC TUBE;1;5;5
;;BOUGIE DENSO 16 CRAYON (4PCS);4;3;12
;02/01/2022;PLAQUETTE SUZUKI;1;15;15
;;CLIGNOTANT AR NISSAN VANETTE;1;15;15
;;COUPELLES D'EMBRAYAGE SUPERIEUR CANTER;1;5;5
;;ROTULE CENTRALE COROLLA;1;6;6
;;ROTULE CENTRALE COROLLA;1;6;6
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;20;40
;;PNEU 195 R15 HIACE;1;65;65
;02/02/2022;COUSSINETS BIELLE 5AF STD;1;25;25
;;COUSSINETS BIELLE 5AF STD;1;25;25
;;FILTRE A HUILE FUSO 6D22(PAPIER);1;15;15
;;FILTRE A HUILE FUSO 6D22(PAPIER);1;15;15
;02/03/2022;POMPE ELECTRIQUES;1;20;20
;;FILTRE A HUILE VANETTE;10;3;30
;;FILTRE A HUILE VANETTE;10;3;30
;;FILTRE A HUILE SUZUKI;1;5;5
;;FILTRE A GASOIL FUSO;1;10;10
;02/04/2022;POMPE A ESSENCE RIKA (GRDS);1;20;20
;;BOURRAGES VILBREQUIN AV 1RZ;1;3;3
;;AMORTISSEUR AV L/C AM E3375;2;35;70
;;VIS PLATINE TOYOTA;1;5;5
;;PHARE ROND 12V L/C STAUT;2;20;40
;;BOUGIE DENSO W20 ORD (4PCS);4;2,5;10
